ITEM_GP,ITEM NUMBER_GP,GP,ITEM_NG,ITEM NUMBER_NGP,NGP
GP01,1,While the boy hunted the colorful and small butterflies flew across the clearing.,NG01,1,While the boy hunted the fireflies the colorful and small butterflies flew across the clearing.
GP02,2,While the sailor sailled the frail and worn boat sank in the harbor.,NG02,2,While the sailor sailled the yacht the frail and worn boat sank in the harbor.
GP03,3,While the tourist photographed the quick and hungry seagull dove into the sea.,NG03,3,While the tourist photographed the pelican the quick and hungry seagull dove into the sea.
GP04,4,While the drummer performed the intense and lively music played in the bar.,NG04,4,While the drummer performed the solo the intense and lively music played in the bar.
GP05,5,While the director read the fascinating and surprising script flew out the window.,NG05,5,While the director read the book the fascinating and surprising script flew out the window.
GP06,6,While the couple ordered the succulent and tasty meat was grilled in the kitchen.,NG06,6,While the couple ordered the fish the succulent and tasty meat was grilled in the kitchen.
GP07,7,While the reporter wrote the shocking and revealing news played on the TV.,NG07,7,While the reporter wrote the headlines the shocking and revealing news played on the TV.
GP08,8,While the assistant typed the detailed and curious testimony identified the culprit of the theft.,NG08,8,While the assistant typed the report the detailed and curious testimony identified the culprit of the theft.
GP09,9,While the captain steered the big and crowded ship anchored on the island.,NG09,9,While the captain steered the sailboat the big and crowded ship anchored on the island.
GP10,10,While the investor studied the unstable and risky profits showed signs of improvements.,NG10,10,While the investor studied the balance sheet the unstable and risky profits showed signs of improvements.
GP11,11,While the artisan whittled the glorious and important statue was erected in the park.,NG11,11,While the artisan whittled the plaque the glorious and important statue was erected in the park.
GP12,12,While the employee drove the heavy and fast van zigzaged along the highway.,NG12,12,While the employee drove the truck the heavy and fast van zigzaged along the highway.
GP13,13,While the nanny fed the small and cute baby slept in the crib.,NG13,13,While the nanny fed the dog the small and cute baby slept in the crib.
GP14,14,While the gymnast juggled the bright and colorful rings lay on the table.,NG14,14,While the gymnast juggled the ribbons the bright and colorful rings lay on the table.
GP15,15,While the man walked the stressed and noisy pinscher growled in the yard.,NG15,15,While the man walked the bulldog the stressed and noisy pinscher growled in the yard.
GP16,16,While the maid vacuumed the expensive and fancy carpet dried in the sun.,NG16,16,While the maid vacuumed the couch the expensive and fancy carpet dried in the sun.
GP17,17,While the competitor paddled the fast and long kayak skirted around the island.,NG17,17,While the competitor paddled the canoe the fast and long kayak skirted around the island.
GP18,18,While the cowboy rode the white and strong horse ate in the stable.,NG18,18,While the cowboy rode the bull the white and strong horse ate in the stable.
